192
-113/70,-3/14
85 86 87
86 88 90 87
87 90 92 89
88 91 94 93 90
89 92 96
90 93 92
91 99 101 94
92 93 95 100 98 96
93 94 95
94 101 108 109 95
95 109 100
96 98 97
97 98 103 102
98 100 105 103
99 104 101
100 109 110 105
101 104 107 108
102 103 114 115
103 105 113 114
104 106 107
105 110 111
105 111 112
105 112 113
107 127 108
108 127 140 134 120 110 109
110 120 138 132
110 124 118 111
110 132 124
111 118 117 112
112 117 131 125 113
113 125 122 114
114 122 121 115
115 121 116
116 121 126
116 126 136 123
117 118 119
117 119 133 131
118 124 128 119
119 128 139 133
120 134 144 145 146
120 146 147 138
121 122 126
122 125 129 126
124 132 137 128
125 131 135 129
126 129 130
126 130 136
127 141 140
128 137 150 151 139
129 135 154 130
130 154 136
131 133 153 135
132 138 148 149 137
133 139 152 153
134 140 142 143
134 143 144
135 153 154
137 149 150
138 147 148
139 151 152
140 141 142
141 171 166 142
142 166 164 143
143 164 160 144
144 160 145
145 159 155 146
145 160 162 159
146 155 147
147 155 165 156 148
148 156 149
149 156 163 158 150
150 158 151
151 158 173 157 152
152 157 153
153 157 161
153 161 154
155 159 172 165
156 165 170 163
157 173 179 161
158 163 175 173
159 162 174 172
160 164 167 162
162 167 169 180 174
163 170 185 175
164 166 168 167
165 172 176 177 170
166 171 168
167 168 169
168 171 184 182 169
169 182 180
170 177 186 185
172 174 176
173 175 179
174 180 181 178 176
175 185 187 179
176 178 177
177 178 188 186
178 181 189 188
180 182 183 181
181 183 191 189
182 184 183
183 184 191
185 186 187
186 188 190 187
188 189 190
189 191 190
