276
35/44,13/44
434469/341825,7373/683650
868943/683650,3649/341825
7691/6050,1/50
1303627/1025475,6824/341825
2607379/2050950,7373/683650
2607389/2050950,7323/683650
2607499/2050950,1123/683650
1303757/1025475,524/341825
1049/825,1/50
1303972/1025475,7373/683650
2607949/2050950,334/31075
1304032/1025475,1123/683650
434679/341825,1073/683650
869503/683650,7373/683650
869543/683650,1123/683650
1304317/1025475,549/341825
2608739/2050950,-5077/683650
79053/62150,-5127/683650
1304597/1025475,1123/683650
434884/341825,-5077/683650
2609309/2050950,-2551/341825
2609869/2050950,-5077/683650
2609969/2050950,-11227/683650
1304987/1025475,-5626/341825
435089/341825,-11227/683650
2611189/2050950,-17327/683650
260
0 2 1
0 34 90 33 2
1 2 5 4
1 4 3
2 33 89 32 5
3 4 8 7
3 7 6
4 5 9 8
5 32 88 31 9
6 7 12 11
6 11 10
7 8 13 12
8 9 14 13
9 31 87 30 14
10 11 17 16
10 16 15
11 12 18 17
12 13 19 18
13 14 20 19
14 30 86 29 20
15 16 26 27
15 27 28
16 17 25 26
17 18 24 25
18 19 23 24
19 20 22 23
20 29 85 21 22
21 85 60 22
22 60 59 23
23 59 58 24
24 58 57 25
25 57 56 26
26 56 55 27
27 55 50 28
28 50 35
29 86 85
30 87 66 60 85 86
31 88 72 66 87
32 89 78 72 88
33 90 84 78 89
34 91 92 84 90
35 37 36
35 50 51 37
36 37 40 39
36 39 38
37 51 52 40
38 39 43 42
38 42 41
39 40 44 43
40 52 53 44
41 42 47 46
41 46 45
42 43 48 47
43 44 49 48
44 53 54 49
45 46 102 103
45 103 104
46 47 101 102
47 48 100 101
48 49 99 100
49 54 98 99
50 55 61 51
51 61 67 52
52 67 73 53
53 73 79 54
54 79 97 98
55 56 62 61
56 57 63 62
57 58 64 63
58 59 65 64
59 60 66 65
61 62 68 67
62 63 69 68
63 64 70 69
64 65 71 70
65 66 72 71
67 68 74 73
68 69 75 74
69 70 76 75
70 71 77 76
71 72 78 77
73 74 80 79
74 75 81 80
75 76 82 81
76 77 83 82
77 78 84 83
79 80 96 97
80 81 95 96
81 82 94 95
82 83 93 94
83 84 92 93
92 106 107 93
93 107 108 94
94 108 109 95
95 109 110 96
96 110 111 97
97 111 112 98
98 112 113 99
99 113 114 100
100 114 115 101
101 115 116 102
102 116 117 103
103 117 118 104
105 169 144 106
106 144 143 107
107 143 142 108
108 142 141 109
109 141 140 110
110 140 139 111
111 139 134 112
112 134 123 113
113 123 122 114
114 122 121 115
115 121 120 116
116 120 119 117
117 119 118
119 120 124
120 121 125 124
121 122 126 125
122 123 127 126
123 134 135 127
124 125 128
125 126 129 128
126 127 130 129
127 135 136 130
128 129 131
129 130 132 131
130 136 137 132
131 132 133
132 137 138 133
133 138 217
134 139 145 135
135 145 151 136
136 151 157 137
137 157 163 138
138 163 216 217
139 140 146 145
140 141 147 146
141 142 148 147
142 143 149 148
143 144 150 149
144 169 170 150
145 146 152 151
146 147 153 152
147 148 154 153
148 149 155 154
149 150 156 155
150 170 171 156
151 152 158 157
152 153 159 158
153 154 160 159
154 155 161 160
155 156 162 161
156 171 173 162
157 158 164 163
158 159 165 164
159 160 166 165
160 161 167 166
161 162 168 167
162 173 176 168
163 164 215 216
164 165 214 215
165 166 213 214
166 167 212 213
167 168 211 212
168 176 210 211
169 172 174 170
170 174 177 171
171 177 179 173
172 175 174
173 179 182 176
174 175 178 177
175 181 184 178
176 182 209 210
177 178 180 179
178 184 186 180
179 180 183 182
180 186 188 183
181 185 184
182 183 208 209
183 188 207 208
184 185 187 186
185 190 191 187
186 187 189 188
187 191 193 189
188 189 206 207
189 193 205 206
190 192 191
191 192 194 193
192 195 196 194
193 194 204 205
194 196 203 204
195 197 196
196 197 202 203
197 198 201 202
198 199 200
198 200 201
199 218 275 200
200 275 273 201
201 273 272 202
202 272 267 203
203 267 266 204
204 266 257 205
205 257 256 206
206 256 247 207
207 247 246 208
208 246 241 209
209 241 240 210
210 240 224 211
211 224 223 212
212 223 222 213
213 222 221 214
214 221 220 215
215 220 219 216
216 219 217
219 220 225
220 221 226 225
221 222 227 226
222 223 228 227
223 224 229 228
224 240 242 229
225 226 230
226 227 231 230
227 228 232 231
228 229 233 232
229 242 244 233
230 231 234
231 232 235 234
232 233 236 235
233 244 248 236
234 235 237
235 236 238 237
236 248 252 238
237 238 239
238 252 258 239
240 241 243 242
241 246 250 243
242 243 245 244
243 250 254 245
244 245 249 248
245 254 259 249
246 247 251 250
247 256 261 251
248 249 253 252
249 259 263 253
250 251 255 254
251 261 264 255
252 253 258
254 255 260 259
255 264 268 260
256 257 262 261
257 266 269 262
259 260 263
261 262 265 264
262 269 271 265
264 265 268
266 267 270 269
267 272 274 270
269 270 271
272 273 274
