257
2029/3180,961/9540
247477/220348,-387575/2423828
3616981/3219580,-14913/111020
409/364,-61/364
12044053/10711844,-87119/973804
59526743/52936780,-4730711/52936780
213079/189460,-29923/189460
15396751/13673140,-1982587/13673140
20401/18100,-1457/18100
12383/10985,-5879/43940
49571/43940,-74197/483340
72479/64220,-7793/64220
14209/12580,-1423/12580
525407/465140,-74079/465140
855413/756040,-35923/378020
7649/6760,-319/3380
238150301/210236260,-17370527/210236260
1473/1300,-283/3900
9309987/8214700,-150146/2053675
1254223/1106300,-40193/553150
1808973/1595620,-117951/1595620
697673/615316,-44723/615316
144434383/127382060,-9231901/127382060
4037/3560,-127/1780
1033924/911755,-1839/43940
2143529/1889420,-169359/944710
9981/8788,-483/8788
334761/294580,-6401/80340
28783687/25316530,-2219063/50633060
2725/2396,-97/2396
33115/29068,-3841/29068
4861/4255,-9217/68080
5053/4420,-983/13260
4837/4225,-9319/67600
38197/33340,-13127/100020
50364913/43866160,-281267/5483270
12535/10912,-141/2728
319401/277940,-29737/277940
4781/4160,-53/1040
12851/11180,-567/11180
171733/149396,-7603/149396
168244579/146299660,-7685073/146299660
23/20,-63/260
23/20,-81/620
23/20,-1/20
22427/19500,-989/19500
3423958/2976935,-2528191/47630960
22491623/19553300,-3310011/19553300
605071/525980,-75457/525980
17279/15020,-793/15020
670601/582920,-38061/291460
237313/206284,-26829/206284
252751/219700,-27507/219700
151651/131820,-16397/131820
808843/703040,-19339/175760
116361/101140,-11107/101140
167513/145600,-3929/36400
355973/309400,-15643/154700
292887/254540,-2549/23140
3291/2860,-157/2860
389/338,-337/2704
1017599/882700,-96743/882700
1963/1702,-1715/13616
958901/831220,-93497/831220
2027/1755,-30181/252720
46561/40300,-14381/120900
48999/42380,-1193/9780
1662059/1437540,-526079/4312620
5937/5135,-30067/246480
379607/327860,-37969/327860
1961411/1693900,-217527/1693900
1408721/1216280,-236273/1824420
3037/2620,-299/2620
124007/106940,-13829/106940
2899/2500,-293/2500
91957/79300,-92291/713700
603/520,-269/2080
5551/4780,-617/4780
8783/7540,-1161/7540
467349/401180,-126981/802360
11207/9620,-1539/9620
1049/900,-143/900
246
0 2 4 3
0 3 1
1 3 6 12
2 5 4
3 4 9 10 6
4 5 8 9
5 7 8
6 10 11
6 11 12
7 17 16 8
7 18 17
8 16 15 9
9 15 14 10
10 14 13 11
11 13 12
13 14 19 29 30
14 15 19
15 16 23 27 28 19
16 17 22 23
17 18 20 22
18 21 24 22 20
19 28 29
21 26 35
21 35 64 24
22 24 25 23
23 25 27
24 64 62 39 25
25 39 43 38 27
26 44 35
27 38 37 34 33 28
28 33 31 29
29 31 30
30 31 32
31 33 34 32
32 34 36
34 37 36
35 44 106 75 72 62 64
36 37 40 41
37 38 40
38 43 45 42 40
39 57 43
39 62 61 57
40 42 41
41 42 46 49 48 47
42 45 46
43 57 59 55 45
44 217 200 142 123 117 75 106
45 55 54 46
46 54 53 49
47 48 51
48 49 50
48 50 51
49 53 52 50
50 52 51
52 53 56 76
53 54 56
54 55 66 67 65 58 56
55 59 66
56 58 60 63 86 76
57 61 59
58 63 60
58 65 82 83 63
59 61 73 87 85 69 68 66
61 62 72 73
63 83 86
65 67 77
65 77 81 82
66 68 67
67 68 70 79 80 77
68 69 70
69 71 70
69 85 89 90 71
70 71 78 79
71 90 96 78
72 74 73
72 75 74
73 74 101 87
74 75 117 107 105 101
76 86 97 104
77 80 81
78 96 108
78 108 109 84 79
79 84 80
80 84 93 91 81
81 91 82
82 91 92 83
83 92 97 86
84 109 111 103 95 93
85 87 88
85 88 89
87 101 115 102 88
88 102 99 89
89 99 90
90 99 133 134 96
91 93 94 92
92 94 98 97
93 95 94
94 95 100 98
95 103 100
96 134 113 108
97 98 104
98 100 114 104
99 102 122 132 133
100 103 112 114
101 105 116 118 115
102 115 122
103 111 112
105 107 110
105 110 116
107 117 124 125 121
107 121 120 110
108 113 109
109 113 111
110 120 119 116
111 113 134 133 136 139 112
112 139 141 114
115 118 128 122
116 119 118
117 123 124
118 119 129 130 128
119 120 127 129
120 121 126 127
121 125 126
122 128 131 132
123 142 168 138 124
124 138 125
125 138 172 171 164 152 155 156 150 126
126 150 149 127
127 149 148 135 129
128 130 131
129 135 130
130 135 144 143 137 131
131 137 136 132
132 136 133
135 148 147 144
136 137 140 139
137 143 140
138 168 176 172
139 140 141
140 143 145 146 141
142 200 188 178 168
143 144 145
144 147 146 145
146 147 151 154
147 148 151
148 149 160 158 151
149 150 162 160
150 156 165 162
151 158 154
152 153 155
152 164 161 153
153 159 157 155
153 161 159
154 158 199 204
155 157 156
156 157 163 166 165
157 159 163
158 160 199
159 161 169 167 163
160 162 201 203 199
161 164 170 169
162 165 173 183 192 198 201
163 167 166
164 171 170
165 166 174 173
166 167 179 174
167 169 187 189 179
168 178 176
169 170 186 187
170 171 177 184 186
171 172 177
172 176 181 182 177
173 174 175
173 175 183
174 179 180 175
175 180 191 195 193 183
176 178 181
177 182 184
178 188 185 181
179 189 190 180
180 190 191
181 185 182
182 185 206 205 184
183 193 192
184 205 186
185 188 208 206
186 205 209 227 228 187
187 228 229 189
188 200 222 223 208
189 229 230 212 190
190 212 202 191
191 202 195
192 193 194
192 194 197 198
193 195 196 194
194 196 197
195 202 207 196
196 207 232 234 221 197
197 221 216 211 198
198 211 210 201
199 203 204
200 217 222
201 210 203
202 212 231 232 207
203 210 213 214 219 204
205 206 209
206 208 218 209
208 223 225 218
209 218 226 227
210 211 213
211 216 215 213
212 230 231
213 215 214
214 215 220
214 220 219
215 216 224 220
216 221 224
218 225 226
221 234 224
222 255 254 223
223 254 253 246 225
225 246 245 237 226
226 237 235 227
227 235 228
228 235 239 233 229
229 233 230
230 233 238 236 231
231 236 232
232 236 247 234
233 239 240 238
235 237 242 241 239
236 238 244 247
237 245 242
238 240 244
239 241 240
240 241 243 249 244
241 242 243
242 245 248 250 243
243 250 252 249
244 249 247
245 246 248
246 253 252 251 248
248 251 250
250 251 252
253 254 256
254 255 256
